id,lat,lng,tree,sky,entropy,H,S,V,color,neighborhood,city
16,37.715394,-122.446785,17454.5,59793.75,5.600043296,0.046006067,0.397348333,0.23806791,#3c2b24,Ocean View,sanfrancisco
17,37.715394,-122.448682,19114.5,49312.25,5.542411981,0.086229947,0.184281843,0.46816609,#776c61,Ocean View,sanfrancisco
18,37.715394,-122.450581,16674,45598.5,5.561443891,0.126168224,0.174235571,0.492602496,#7d7867,Ocean View,sanfrancisco
19,37.715394,-122.452477,1950.5,53603,5.744565663,0.127795963,0.17534797,0.506100218,#817b6a,Ocean View,sanfrancisco
20,37.715394,-122.454375,24298.75,32915.5,5.908257385,0.108223753,0.181766447,0.522043969,#857c6c,Ocean View,sanfrancisco
21,37.715394,-122.456272,26933,48454,6.011501298,0.127398483,0.201891892,0.453431373,#736e5c,Ocean View,sanfrancisco
22,37.715394,-122.460067,2774.25,52343.75,5.504571869,0.228472222,0.055008022,0.462427133,#73756f,Ocean View,sanfrancisco
23,37.715394,-122.461965,2630.25,58006.5,5.677772425,0.108153292,0.137725824,0.61503268,#9c9587,Ocean View,sanfrancisco
24,37.715394,-122.463862,3882.25,49906.75,5.611291322,0.100237248,0.150468541,0.505070994,#80796d,Ocean View,sanfrancisco
25,37.716894,-122.424014,100274,14246.5,,,,,,Excelsior,sanfrancisco
26,37.716894,-122.425912,58187,34687.25,5.758140324,0.091814159,0.216009558,0.586134454,#958675,Excelsior,sanfrancisco
27,37.716894,-122.427809,9577.5,62362.75,5.523620671,0.096477392,0.126420738,0.409722222,#68625b,Excelsior,sanfrancisco
28,37.716894,-122.429707,5964.75,50643.75,5.581612738,0.470385126,0.289838337,0.435394671,#4e6f69,Excelsior,sanfrancisco
29,37.716894,-122.431605,4202,54040.75,5.441932918,0.15408805,0.108695652,0.424923747,#6c6b60,Excelsior,sanfrancisco
30,37.716894,-122.433502,7629.5,53844,5.682074831,0.116112897,0.208212453,0.474933757,#79715f,Excelsior,sanfrancisco
31,37.716894,-122.435401,7565.75,57487,5.755564564,0.102390438,0.201379974,0.509150327,#817767,Excelsior,sanfrancisco
32,37.716894,-122.437297,9148.25,56437.5,5.799573648,0.097099312,0.150599733,0.490413943,#7d756a,Excelsior,sanfrancisco
33,37.716894,-122.439195,1908.75,52140.75,5.786757794,0.118913858,0.100546037,0.520686275,#848077,Excelsior,sanfrancisco
34,37.716894,-122.441092,1912.75,68308.25,5.945372549,0.1,0.192105263,0.338680927,#564f45,Excelsior,sanfrancisco
35,37.716894,-122.442991,2374,50099,5.684996144,0.19088812,0.048710602,0.401149425,#656661,Excelsior,sanfrancisco
36,37.716894,-122.444887,18892.5,50235,5.461081457,0.114516816,0.169517212,0.452843137,#736d5f,Excelsior,sanfrancisco
37,37.716894,-122.446785,20032.5,49121.75,5.064955076,0.10310278,0.123483397,0.71202046,#b5ad9f,Ocean View,sanfrancisco
38,37.716894,-122.448682,22115.25,70862,,,,,,Ocean View,sanfrancisco
39,37.716894,-122.450581,10201.25,49872,5.779119864,0.147257384,0.091945996,0.49550173,#7e7d72,Ocean View,sanfrancisco
40,37.716894,-122.452477,9675.5,50731.5,5.777030781,0.14849921,0.090948276,0.478844169,#7a786f,Ocean View,sanfrancisco
41,37.716894,-122.454375,7205.75,62803.5,5.608977166,0.061197917,0.377581121,0.221568627,#382b23,Ocean View,sanfrancisco
42,37.716894,-122.456272,7612.75,55505.5,5.564939701,0.11716792,0.156409251,0.434953112,#6e695d,Ocean View,sanfrancisco
43,37.716894,-122.458171,6031.25,62941,5.911151723,0.106342394,0.154509284,0.479491256,#7a7367,Ocean View,sanfrancisco
44,37.716894,-122.460067,963,51865.75,5.622901,0.127391304,0.116361429,0.450661195,#726f65,Ocean View,sanfrancisco
45,37.716894,-122.461965,1590.25,48412,5.596362571,0.117640475,0.173644315,0.487354362,#7c7566,Ocean View,sanfrancisco
46,37.716894,-122.463862,9210,51935,5.7456722,0.105633803,0.169798428,0.488443888,#7c7467,Ocean View,sanfrancisco
47,37.716894,-122.465761,10824,53726.5,5.894103842,0.242542153,0.053022488,0.475196078,#767972,Ocean View,sanfrancisco
48,37.716894,-122.467657,16198.75,54139.5,5.748718706,0.10964019,0.124556063,0.417806041,#6a665d,Ocean View,sanfrancisco
49,37.716894,-122.469555,9506.5,54729.25,5.771064836,0.098082596,0.160549372,0.385134519,#625b52,Lakeshore,sanfrancisco
50,37.718394,-122.422117,73320.5,22375.75,,,,,,Excelsior,sanfrancisco
51,37.718394,-122.425912,71752.75,24089.5,,,,,,Excelsior,sanfrancisco
52,37.718394,-122.427809,4137.25,60280.5,5.70955442,0.148394241,0.113713638,0.346013072,#58574e,Excelsior,sanfrancisco
53,37.718394,-122.429707,9263.25,58145.75,5.681433878,0.120307167,0.11743487,0.489215686,#7c786e,Excelsior,sanfrancisco
54,37.718394,-122.431605,3023.25,51268.75,5.733682894,0.147301587,0.078451883,0.546732026,#8b8a80,Excelsior,sanfrancisco
55,37.718394,-122.433502,9742.75,54925.75,5.850140691,0.138124363,0.147696477,0.280075901,#47453c,Excelsior,sanfrancisco
56,37.718394,-122.435401,2142,64139.25,5.759606446,0.183486239,0.058210948,0.506423259,#808179,Excelsior,sanfrancisco
57,37.718394,-122.437297,3613,57222.5,6.070592195,0.100167294,0.20111027,0.431699346,#6e6557,Excelsior,sanfrancisco
58,37.718394,-122.439195,3102,39865.5,4.854546355,0.511049081,0.190457204,0.409803922,#546768,Excelsior,sanfrancisco
59,37.718394,-122.441092,4691.5,41615.5,5.445801462,0.14974359,0.070080863,0.505174292,#807f77,Excelsior,sanfrancisco
60,37.718394,-122.442991,2299.5,54384.75,5.749903531,0.10950236,0.096324304,0.710861423,#b5afa3,Excelsior,sanfrancisco
61,37.718394,-122.444887,9474,58982,5.964761066,0.096170034,0.25279285,0.455047204,#746756,Ocean View,sanfrancisco
62,37.718394,-122.446785,7989.25,54675.25,5.526902113,0.226190476,0.054239309,0.548284314,#898b84,Ocean View,sanfrancisco
63,37.718394,-122.448682,9634,72834,,,,,,Ocean View,sanfrancisco
64,37.718394,-122.450581,23852,58191.75,5.48419576,0.050794934,0.431160683,0.416702977,#6a4a3c,Ocean View,sanfrancisco
65,37.718394,-122.452477,17925.5,39207.5,5.386651981,0.081847134,0.248969236,0.484890427,#7b6b5c,Ocean View,sanfrancisco
66,37.718394,-122.454375,13307.25,54835.5,5.206147411,0.090753079,0.24018039,0.561601307,#8f7f6c,Ocean View,sanfrancisco
67,37.718394,-122.456272,7110,51989.75,5.402211415,0.074811732,0.254732697,0.392335116,#64554a,Ocean View,sanfrancisco
68,37.718394,-122.458171,27387.5,52843.75,5.737698295,0.189393939,0.010510224,0.873258239,#dededc,Ocean View,sanfrancisco
69,37.718394,-122.460067,7711.25,64297.5,5.913434718,0.195238095,0.010322961,0.831004902,#d3d3d1,Ocean View,sanfrancisco
70,37.718394,-122.461965,22577.5,49019.75,5.604002687,0.114500442,0.088331771,0.464923747,#76736c,Ocean View,sanfrancisco
71,37.718394,-122.463862,16397,50608,5.659326404,0.073954984,0.07336636,0.369411765,#5e5a57,Ocean View,sanfrancisco
72,37.718394,-122.465761,24839,52254.25,5.791133683,0.192640693,0.009394827,0.868680445,#dddddb,Ocean View,sanfrancisco
73,37.718394,-122.467657,13350,53792.75,5.758732073,0.302588997,0.008384208,0.875935829,#dddfdd,Ocean View,sanfrancisco
74,37.718394,-122.469555,9363.5,54599.75,5.612252942,0.172955975,0.006001585,0.865784314,#dcdcdb,Lakeshore,sanfrancisco
75,37.718394,-122.471453,13581,56077.25,5.6596787,0.094180962,0.185337572,0.499253035,#7f7567,Lakeshore,sanfrancisco
76,37.718394,-122.473351,19486.5,67925,,,,,,Lakeshore,sanfrancisco
77,37.718394,-122.475248,48510.75,43012.5,5.897939585,0.091733871,0.296650718,0.312231559,#4f4438,Lakeshore,sanfrancisco
78,37.719894,-122.422117,90859.5,25118.25,,,,,,Excelsior,sanfrancisco
79,37.719894,-122.424014,70781,30010.5,,,,,,Excelsior,sanfrancisco
80,37.719894,-122.425912,26401,47367,5.556478597,0.108719647,0.243548387,0.578898226,#93876f,Excelsior,sanfrancisco
81,37.719894,-122.427809,3111.25,60519.5,5.860460705,0.427230047,0.039356984,0.382405935,#5d615f,Excelsior,sanfrancisco
82,37.719894,-122.429707,9201.25,60788.75,5.528672875,0.148867314,0.045404452,0.539156269,#898883,Excelsior,sanfrancisco
83,37.719894,-122.431605,25402.5,52566.5,5.990730889,0.086917563,0.225363489,0.485490196,#7b6e5f,Excelsior,sanfrancisco
84,37.719894,-122.433502,9794,47899.75,5.558191535,0.563242488,0.176568573,0.432412965,#5a666e,Excelsior,sanfrancisco
85,37.719894,-122.435401,35246,50985.5,6.152912566,0.122166247,0.267700607,0.484640523,#7b725a,Excelsior,sanfrancisco
86,37.719894,-122.437297,3698.75,35879.75,5.66463972,0.167060988,0.106456217,0.496912808,#7e7e71,Excelsior,sanfrancisco
87,37.719894,-122.439195,42629,41970.25,5.824170442,0.371212121,0.009554832,0.75245098,#bebfbe,Excelsior,sanfrancisco
88,37.719894,-122.441092,6840,57544.5,5.449680333,0.09791818,0.202708671,0.522337562,#857a6a,Excelsior,sanfrancisco
89,37.719894,-122.442991,20351.75,56233.75,6.027699449,0.106753813,0.109363831,0.522502334,#858076,Excelsior,sanfrancisco
90,37.719894,-122.444887,23145.5,51459.25,5.469081553,0.549467275,0.225077081,0.279196557,#374247,Ocean View,sanfrancisco
91,37.719894,-122.446785,7762.75,68355,5.808156358,0.213333333,0.089058524,0.275210084,#44463f,Ocean View,sanfrancisco
92,37.719894,-122.448682,34546.75,59260.75,5.330272555,0.235791091,0.077694236,0.429527105,#696d65,Ocean View,sanfrancisco
93,37.719894,-122.450581,4175.5,57471.25,5.841341782,0.158333333,0.106707317,0.354834348,#5a5a50,Ocean View,sanfrancisco
94,37.719894,-122.452477,10631.25,56531,5.466060034,0.188923395,0.122293961,0.368767507,#5c5e52,Ocean View,sanfrancisco
95,37.719894,-122.454375,1722.25,54545,5.133996667,0.144927536,0.096650961,0.466607249,#76756b,Ocean View,sanfrancisco
96,37.719894,-122.456272,2482.5,61875,5.487500694,0.130654762,0.091042107,0.455123936,#747169,Ocean View,sanfrancisco
97,37.719894,-122.458171,39683.5,35258.75,5.013973174,0.447950378,0.104887984,0.624483307,#8e9f9a,Ocean View,sanfrancisco
98,37.719894,-122.460067,3624.25,51454.75,5.400667598,0.145866667,0.098456207,0.388970588,#636159,Ocean View,sanfrancisco
99,37.719894,-122.461965,5385.75,49476,4.987943635,0.095764855,0.169943066,0.486745098,#7c7367,Ocean View,sanfrancisco
100,37.719894,-122.463862,14230.75,53384,5.718816621,0.135562468,0.129741727,0.44171123,#706d62,Ocean View,sanfrancisco
101,37.719894,-122.465761,5084.75,52086.25,5.579505894,0.119763206,0.149296349,0.392396959,#645f55,Ocean View,sanfrancisco
102,37.719894,-122.467657,5672.25,54161,5.502802376,0.128302846,0.127057912,0.421813725,#6b685d,Ocean View,sanfrancisco
103,37.719894,-122.469555,10847,54554.5,5.789943312,0.083094556,0.306948109,0.387723785,#625344,Lakeshore,sanfrancisco
104,37.719894,-122.471453,5595.75,50474.5,5.486971819,0.162601626,0.010816039,0.841435442,#d6d6d4,Lakeshore,sanfrancisco
105,37.719894,-122.473351,15865.75,68206.25,5.980985138,0.121212121,0.148029478,0.42204192,#6b675b,Lakeshore,sanfrancisco
106,37.719894,-122.475248,31769.75,55677.75,,,,,,Lakeshore,sanfrancisco
107,37.719894,-122.477145,20834.25,61937,,,,,,Lakeshore,sanfrancisco
108,37.719894,-122.479043,35241.25,54998.25,5.470632208,0.080128205,0.210526316,0.252685422,#403932,Lakeshore,sanfrancisco
109,37.721394,-122.416424,85907.75,10639.75,,,,,,Excelsior,sanfrancisco
110,37.721394,-122.424014,65077.75,38065.25,,,,,,Excelsior,sanfrancisco
111,37.721394,-122.425912,2791,54415,5.477047629,0.199621212,0.171272869,0.314828431,#4d5042,Excelsior,sanfrancisco
112,37.721394,-122.427809,2149.25,47394.75,5.785892215,0.122877123,0.168094039,0.382835101,#615d51,Excelsior,sanfrancisco
113,37.721394,-122.429707,3097.5,55931.25,5.647482526,0.191756272,0.051984349,0.501120448,#7e7f79,Excelsior,sanfrancisco
114,37.721394,-122.431605,7190,47456,5.531787019,0.118411284,0.1619185,0.483311547,#7b7567,Excelsior,sanfrancisco
115,37.721394,-122.433502,6034,52233.5,5.773090821,0.427192982,0.156981548,0.347297944,#4a5852,Excelsior,sanfrancisco
116,37.721394,-122.435401,21132.25,44776.25,5.890298742,0.258169935,0.066753927,0.142670401,#232421,Excelsior,sanfrancisco
117,37.721394,-122.437297,2260.25,41002.5,5.977685637,0.119717152,0.201671475,0.480679101,#7a7361,Excelsior,sanfrancisco
118,37.721394,-122.439195,20025,44031.5,5.58958348,0.151515152,0.079797758,0.364065626,#5c5c55,Excelsior,sanfrancisco
119,37.721394,-122.444887,2888,42542.75,5.604196615,0.097760551,0.171441229,0.442614379,#70685d,Ocean View,sanfrancisco
120,37.721394,-122.448682,13515.75,55260.5,5.513315557,0.56984127,0.175041677,0.382945736,#505a61,Ocean View,sanfrancisco
121,37.721394,-122.450581,3828,54928,5.554357933,0.330016584,0.039288507,0.436146633,#6a6f6a,Ocean View,sanfrancisco
122,37.721394,-122.452477,3236.5,60601.75,5.71612645,0.177902622,0.019152141,0.828342246,#d2d3cf,Ocean View,sanfrancisco
123,37.721394,-122.454375,2769.75,59949.75,5.599477688,0.123005877,0.12777599,0.338453159,#56534b,Ocean View,sanfrancisco
124,37.721394,-122.456272,4611.25,58577.5,5.968616112,0.080478521,0.1256405,0.466666667,#766f68,Ocean View,sanfrancisco
125,37.721394,-122.458171,22693.5,41224.25,5.618757738,0.302919708,0.017894462,0.769834087,#c1c4c0,Ocean View,sanfrancisco
126,37.721394,-122.460067,28300.5,36239.75,5.793303187,0.254098361,0.037724181,0.365837104,#5b5d59,Ocean View,sanfrancisco
127,37.721394,-122.461965,21370,50536,5.890051398,0.123200921,0.142505538,0.442592593,#706c60,Ocean View,sanfrancisco
128,37.721394,-122.463862,27811.5,59444,5.599748599,0.108484848,0.067617408,0.419711042,#6b6863,Ocean View,sanfrancisco
129,37.721394,-122.465761,11234,66102.75,5.822658815,0.174408015,0.110507246,0.38200692,#606156,Ocean View,sanfrancisco
130,37.721394,-122.467657,29971.75,55437.75,5.972015513,0.150537634,0.082478145,0.396832579,#65645c,Lakeshore,sanfrancisco
131,37.721394,-122.469555,22028.75,67913.5,6.001208991,0.338006231,0.047789192,0.418113912,#656a65,Lakeshore,sanfrancisco
132,37.721394,-122.471453,45224.5,46479.5,5.978684187,0.110709988,0.14916532,0.242745098,#3d3a34,Lakeshore,sanfrancisco
133,37.721394,-122.473351,52284,42693.5,,,,,,Lakeshore,sanfrancisco
134,37.721394,-122.475248,32582.5,49633.25,,,,,,Lakeshore,sanfrancisco
135,37.721394,-122.477145,36494,36462.75,5.198857653,0.326007326,0.014837763,0.481019608,#787a78,Lakeshore,sanfrancisco
136,37.721394,-122.479043,90389.25,10528.5,5.29023951,0.181953766,0.084164941,0.178012402,#2d2d29,Lakeshore,sanfrancisco
137,37.721394,-122.480941,23643.75,34233.25,5.34152109,0.222008957,0.101678376,0.394002307,#61645a,Lakeshore,sanfrancisco
138,37.721394,-122.482838,37734.5,50564.25,5.645971388,0.096357769,0.304421053,0.423351159,#6b5e4b,Lakeshore,sanfrancisco
139,37.722894,-122.408834,10122.25,30312.5,5.437040372,0.539321789,0.032382421,0.666059757,#a4a8a9,Excelsior,sanfrancisco
140,37.722894,-122.410732,34100.25,26031.75,5.459712911,0.199421965,0.047540533,0.492089249,#7c7d77,Excelsior,sanfrancisco
141,37.722894,-122.412629,42404,39867.5,5.766858069,0.11182266,0.194705544,0.498613104,#7f7766,Excelsior,sanfrancisco
142,37.722894,-122.414527,62339.5,45757.25,,,,,,Excelsior,sanfrancisco
143,37.722894,-122.416424,2740.75,39450.25,5.673435862,0.14821883,0.059168925,0.463058824,#76756f,Excelsior,sanfrancisco
144,37.722894,-122.418322,32004.25,35298.5,5.94433395,0.11007326,0.211431227,0.39252166,#645c4e,Excelsior,sanfrancisco
145,37.722894,-122.425912,7214.75,57807,5.475807253,0.128797886,0.1259777,0.512276215,#827e72,Excelsior,sanfrancisco
146,37.722894,-122.427809,4764.5,41829.5,5.478207229,0.469135802,0.010701546,0.732897603,#b8baba,Excelsior,sanfrancisco
147,37.722894,-122.429707,10580.25,52719,5.799919526,0.515599343,0.057263752,0.448450348,#6b7172,Excelsior,sanfrancisco
148,37.722894,-122.431605,1177.5,42609.25,5.5363206,0.166992188,0.107495276,0.466960784,#77776a,Excelsior,sanfrancisco
149,37.722894,-122.433502,17858,61734.25,5.766551362,0.415151515,0.053789731,0.364527629,#575c5a,Excelsior,sanfrancisco
150,37.722894,-122.435401,28423.25,24370.25,5.777281704,0.140093999,0.152800795,0.407978364,#686558,Excelsior,sanfrancisco
151,37.722894,-122.437297,5738.5,31325.25,4.962965634,0.109337036,0.284487015,0.451292335,#736752,Excelsior,sanfrancisco
152,37.722894,-122.439195,19268.5,48482.75,5.861820665,0.109059577,0.203120312,0.466806723,#776e5e,Excelsior,sanfrancisco
153,37.722894,-122.441092,14606.75,43014.25,5.349024701,0.142469471,0.087581699,0.507692308,#817f76,Excelsior,sanfrancisco
154,37.722894,-122.442991,16484,52271.25,5.93352016,0.120626151,0.183013145,0.267478026,#444037,Ocean View,sanfrancisco
155,37.722894,-122.444887,6712.75,68593.5,,,,,,Ocean View,sanfrancisco
156,37.722894,-122.446785,16896.25,53171.5,5.73887471,0.407407407,0.006896552,0.787330317,#c7c8c8,Ocean View,sanfrancisco
157,37.722894,-122.448682,56585.25,31146.5,,,,,,Ocean View,sanfrancisco
158,37.722894,-122.450581,25382.25,44382.5,5.444039672,0.067653277,0.24419205,0.261933739,#423932,Ocean View,sanfrancisco
159,37.722894,-122.452477,12567.75,48561.25,5.970460204,0.134636265,0.076406172,0.477480689,#797770,Ocean View,sanfrancisco
160,37.722894,-122.454375,7981,55893,5.750859044,0.099456099,0.103573153,0.396174079,#65605a,Ocean View,sanfrancisco
161,37.722894,-122.456272,2559.25,52299.5,5.752185176,0.081669519,0.20343507,0.456650768,#74685c,Ocean View,sanfrancisco
162,37.722894,-122.458171,6250.25,56702.5,5.785079177,0.117782152,0.179346867,0.435601692,#6f695b,Ocean View,sanfrancisco
163,37.722894,-122.460067,2633.5,48176.25,5.672938335,0.210752688,0.011171171,0.837104072,#d4d5d3,Ocean View,sanfrancisco
164,37.722894,-122.461965,31510.25,43950.25,5.588982872,0.175675676,0.010226645,0.886764706,#e2e2df,Ocean View,sanfrancisco
165,37.722894,-122.463862,20936,62129.75,5.3757919,0.101149425,0.079845815,0.474771242,#79756f,Ocean View,sanfrancisco
166,37.722894,-122.465761,29806.5,66595.75,,,,,,Ocean View,sanfrancisco
167,37.722894,-122.467657,14101.25,68021.5,5.758161428,0.131421744,0.122207622,0.426330532,#6c695f,Lakeshore,sanfrancisco
168,37.722894,-122.469555,38029.5,54291.75,5.787872549,0.09375,0.153846154,0.101960784,#1a1816,Lakeshore,sanfrancisco
169,37.722894,-122.471453,17926.5,64851.25,5.736532889,0.13795045,0.099495798,0.402298851,#66645c,Lakeshore,sanfrancisco
170,37.722894,-122.473351,11924,66531,5.847401674,0.132850242,0.141296928,0.319172113,#514f45,Lakeshore,sanfrancisco
171,37.722894,-122.475248,45062,43989,,,,,,Lakeshore,sanfrancisco
172,37.722894,-122.477145,102607.75,18976.25,,,,,,Lakeshore,sanfrancisco
173,37.722894,-122.479043,42216.75,32971.75,5.460812221,0.863349131,0.044216262,0.445564893,#716c70,Lakeshore,sanfrancisco
174,37.722894,-122.480941,35796.5,10062,4.651785475,0.035303777,0.014271654,0.487164997,#7c7a7a,Lakeshore,sanfrancisco
175,37.722894,-122.482838,62792.75,25094.5,5.802997035,0.647887324,0.051245038,0.402469136,#616166,Lakeshore,sanfrancisco
176,37.722894,-122.484735,83101,15425.75,,,,,,Lakeshore,sanfrancisco
177,37.724394,-122.406937,2447,55081.25,5.706741469,0.100986193,0.304834055,0.494117647,#7d6e57,Excelsior,sanfrancisco
178,37.724394,-122.408834,4407.25,54561,5.762628508,0.187830688,0.052926351,0.400112045,#656660,Excelsior,sanfrancisco
179,37.724394,-122.412629,16821.5,47919,5.405450623,0.420634921,0.005888951,0.776906318,#c4c6c5,Excelsior,sanfrancisco
180,37.724394,-122.414527,6259,35795.5,5.22183129,0.544256121,0.023329379,0.676203209,#a8abac,Excelsior,sanfrancisco
181,37.724394,-122.416424,2733.75,23310.75,5.158347423,0.26996008,0.03457199,0.565466784,#8d908b,Excelsior,sanfrancisco
182,37.724394,-122.418322,2984.5,42348,5.734958789,0.147466667,0.070114427,0.499383754,#7f7e76,Excelsior,sanfrancisco
183,37.724394,-122.420219,26099.25,44095,5.376415727,0.128498728,0.062272223,0.317295123,#504f4b,Excelsior,sanfrancisco
184,37.724394,-122.422117,15366,47767.5,5.357064442,0.293010753,0.003352439,0.853241061,#d9d9d8,Excelsior,sanfrancisco
185,37.724394,-122.424014,6893.75,55919,5.421506809,0.116751269,0.150957854,0.609243697,#9b9483,Excelsior,sanfrancisco
186,37.724394,-122.425912,10453,51586,5.708554312,0.090451723,0.233398291,0.523215686,#857766,Excelsior,sanfrancisco
187,37.724394,-122.427809,10553,56172,5.768940979,0.097888676,0.191262849,0.485561497,#7b7264,Excelsior,sanfrancisco
188,37.724394,-122.429707,3919.5,65970.5,5.959073544,0.210666667,0.075505889,0.432810458,#6c6e66,Excelsior,sanfrancisco
189,37.724394,-122.431605,17308.25,50847,5.770206788,0.143559489,0.142168169,0.46754902,#777466,Excelsior,sanfrancisco
190,37.724394,-122.433502,4214,34011.5,5.423853171,0.182716049,0.037836323,0.373124183,#5e5f5b,Excelsior,sanfrancisco
191,37.724394,-122.435401,9890.5,39645.5,5.598522009,0.151428571,0.132475397,0.188377897,#302f29,Excelsior,sanfrancisco
192,37.724394,-122.437297,26561.25,41250,5.78301667,0.17679558,0.086231539,0.322798923,#51524b,Excelsior,sanfrancisco
193,37.724394,-122.439195,25066.25,58904.25,5.673557524,0.108016878,0.288953914,0.345857052,#584f3e,Excelsior,sanfrancisco
194,37.724394,-122.441092,32284.25,62543.75,5.394158112,0.103357314,0.196883853,0.314616756,#504a40,Outer Mission,sanfrancisco
195,37.724394,-122.442991,8344.5,47074.5,5.400787274,0.100880932,0.150984683,0.380833333,#615b52,Outer Mission,sanfrancisco
196,37.724394,-122.446785,58019,40817.5,,,,,,Ocean View,sanfrancisco
197,37.724394,-122.448682,38820.5,45458,5.389148834,0.487804878,0.046450151,0.451491901,#6d7372,Ocean View,sanfrancisco
198,37.724394,-122.450581,47479.75,51969.75,,,,,,Ocean View,sanfrancisco
199,37.724394,-122.452477,17513,62054,,,,,,Ocean View,sanfrancisco
200,37.724394,-122.456272,14840,58602.5,5.737132929,0.454545455,0.091730368,0.22572549,#343938,Ocean View,sanfrancisco
201,37.724394,-122.458171,17084.5,54556,6.089589944,0.108401084,0.179562044,0.268627451,#444038,Ocean View,sanfrancisco
202,37.724394,-122.460067,11388,42040.75,5.645685589,0.145076356,0.084197925,0.433564014,#6e6d65,Ocean View,sanfrancisco
203,37.724394,-122.461965,35330.75,46928.75,5.727917935,0.099732262,0.03093552,0.928373702,#ece9e5,Ocean View,sanfrancisco
204,37.724394,-122.463862,18696.75,61922,6.229518029,0.131274131,0.257711443,0.303167421,#4d4939,Ocean View,sanfrancisco
205,37.724394,-122.465761,24353,57556.5,6.164003036,0.190804598,0.072572573,0.435294118,#6d6f66,Ocean View,sanfrancisco
206,37.724394,-122.467657,40899.75,56144.75,6.103307889,0.091526425,0.332449941,0.605347594,#9a8367,Lakeshore,sanfrancisco
207,37.724394,-122.469555,38198.5,52166.5,5.827901085,0.105820106,0.241969274,0.467973856,#776c5a,Lakeshore,sanfrancisco
208,37.724394,-122.471453,39296.75,57303,5.858292625,0.272727273,0.120879121,0.458823529,#6c7566,Lakeshore,sanfrancisco
209,37.724394,-122.473351,23955,57166.75,5.760317747,0.310679612,0.045534925,0.260899654,#3f423f,Lakeshore,sanfrancisco
210,37.724394,-122.475248,46718.75,39795.5,6.075868568,0.142276423,0.227777778,0.117647059,#1d1c17,Lakeshore,sanfrancisco
211,37.724394,-122.477145,95403.75,12358,,,,,,Lakeshore,sanfrancisco
212,37.724394,-122.479043,65928.25,24270,,,,,,Lakeshore,sanfrancisco
213,37.724394,-122.480941,48987.5,13745,5.439195237,0.102886875,0.227647868,0.289930209,#494339,Lakeshore,sanfrancisco
214,37.724394,-122.482838,57126.5,28952,,,,,,Lakeshore,sanfrancisco
215,37.724394,-122.484735,94820.5,18092.25,,,,,,Lakeshore,sanfrancisco
216,37.725894,-122.405039,4741.5,59273.25,5.498675001,0.105839416,0.162949747,0.488453159,#7c7568,Bayview,sanfrancisco
217,37.725894,-122.406937,4089.5,41460.25,5.471363018,0.140577508,0.088942958,0.50020284,#7f7d74,Excelsior,sanfrancisco
218,37.725894,-122.408834,6108.25,42467.75,5.487616429,0.527044025,0.022862566,0.658766695,#a4a7a7,Excelsior,sanfrancisco
219,37.725894,-122.410732,39291.75,31647.75,5.514979194,0.118773946,0.203772189,0.374256055,#5f594b,Excelsior,sanfrancisco
220,37.725894,-122.416424,24078.75,35109.5,5.520355717,0.17057903,0.039082569,0.534313725,#888882,Excelsior,sanfrancisco
221,37.725894,-122.418322,9593,48279.5,5.524443547,0.203100775,0.036840302,0.440120664,#6f706c,Excelsior,sanfrancisco
